Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Saudi Arabia,SAU,3.6,Medium,81,3.650793651,6.2,3.4,1.8,4.8,0,0,4.7,4.9,5.6,8,2,8,2.2,1.1,0.5,3.3,0,3.1,5,0.1,0.7,0,1.1,0.5,3.3,4.5,x,4.5,1.8,1.1,3.2,1.1,10,0.196078431,YES,0.047619048,4.8
Senegal,SEN,4.1,Medium,65,0.949771689,2.6,4.1,0.1,6.3,3.9,0,5.5,4.3,6.2,0.8,1.1,0,4.9,6.4,8.5,5.2,3.4,2.9,3.9,2,3.1,0.1,1.9,1.8,5.3,5,4.7,5.3,5.6,4.8,5.6,6.3,0,0,,0.178082192,5.7
Serbia,SRB,2.9,Low,116,2.698039216,1.8,3.3,5.3,7.7,0,0,0,2.2,3.8,0.1,0.1,0,3.5,1.6,1,2.1,2.2,5.1,7.7,0.2,0.3,0.2,0.7,0.4,3.7,5.3,4.9,5.7,1.6,1.5,1.2,2.2,6,0.117647059,,0.205882353,6.4
Seychelles,SYC,1.5,Very Low,182,5.21025641,1.2,2.2,0.1,0,7.8,0,0,0,2.8,0,0,0,1,1.5,2,1.8,0.1,0.4,0,0.1,1,0,2,0.8,2.6,3.7,4.3,3.1,1.4,1,0.8,2.5,10,0.196078431,,0.476923077,2.9
Sierra Leone,SLE,4.2,Medium,62,1.153153153,2.1,3.7,0.1,5.8,2.9,0,4.7,0.6,7.7,0.1,0.2,0,5.7,7.1,8.8,5.6,5.1,3.8,2,6.4,5.4,0.1,6.9,5.2,6.4,5.2,3.5,6.9,7.4,7.3,8.2,6.8,0,0,,0.216216216,6.5
Singapore,SGP,0.7,Very Low,191,3.707936508,0.6,1.1,0.1,0,0,0,1.9,0,4.6,0,0,0,0.5,0.1,0,0.5,0,0.9,1.1,0.4,0.2,0,1.7,0.6,1.1,1.2,1.2,1.1,0.9,1.1,0,1.5,12,0.235294118,,0.095238095,1.7
Slovakia,SVK,2.1,Very Low,157,3.851851852,1.3,2.4,3.7,6.8,0,0,0,1.1,2.4,0.1,0.1,0,2.8,1,1,1.2,0.6,4.3,6.6,0.1,0.4,0,2.1,0.7,2.5,3.9,3.4,4.3,0.9,1.5,0.1,1,10,0.196078431,,0.222222222,4.6
Slovenia,SVN,1.6,Very Low,179,3.733333333,1.7,3.2,5.9,5.6,3.5,0,3,0.6,1.5,0,0,0,1.4,0.2,0,0.5,0.2,2.4,3.9,0.1,0.2,0.2,1.6,0.5,1.6,2.2,0.9,3.5,0.9,1.3,0.1,1.4,9,0.176470588,,0.25,4.4
Solomon Islands,SLB,4.5,Medium,50,5.4,3.2,5.4,7.1,0,7.8,3.5,6.8,2.9,6,0.1,0.1,0,4.5,5.9,6.7,3,7.2,2.6,1.7,5.3,2.5,0,5.2,3.5,6.5,6.5,6.6,6.3,6.4,5,7.8,6.4,9,0.176470588,,0.5625,5.7
Somalia,SOM,8.5,Very High,2,6.487179487,8.9,6.6,1.2,7.8,6.7,1.7,5.9,10,6.5,10,10,10,8.2,7.4,8.9,2.9,9,8.8,10,2.2,6.8,3.7,9.4,6.4,8.5,9,x,9,8,7.5,7.5,8.9,9,0.176470588,YES,0.523076923,8.9
South Africa,ZAF,4.5,Medium,50,1.826484018,4.9,4.2,1.5,3.2,1,1.3,2.8,9.1,5,5.5,7.8,0,4.6,4.2,4.5,7.5,0.4,4.9,5.7,5.6,1.8,5.1,2.7,4,4,4.7,3.9,5.4,3.3,1.7,3.7,4.5,0,0,,0.342465753,5.9
South Sudan,SSD,8.5,Very High,2,5.982089552,7.2,3.8,2.6,7.8,0,0,0,3.3,7.3,9,10,9,9.2,9.1,10,6.3,10,9.2,10,6.4,6.9,10,5.7,7.8,9.4,9.3,x,9.3,9.5,9.3,9.6,9.6,9,0.176470588,YES,0.671641791,8.7
Spain,ESP,2.3,Low,151,3.483333333,2.3,3.8,2.9,6.4,4.6,0,4.9,3.6,2.9,0.4,0.5,0,2.9,0.5,0,1.7,0.1,4.7,7.3,0.2,0.2,0,1.1,0.4,1.8,2.9,2.2,3.6,0.5,1.3,0,0.3,9,0.176470588,,0.203125,4
Sri Lanka,LKA,3.1,Low,104,2.981094527,2.7,4,0.1,1.9,8,2.2,3.3,3.5,5.5,1.1,1.5,0,2.7,2.9,3.2,4.2,0.8,2.4,3.3,0.3,2.6,0.8,2.3,1.5,3.9,4.7,3.6,5.8,2.9,2,2.7,4,7,0.137254902,,0.208955224,6.6
Sudan,SDN,7.3,Very High,8,2.666666667,7.2,3.8,0.1,8.6,0,0,0.8,3.9,6.6,9,10,9,7.9,6.6,8.5,4.9,4.4,8.8,10,1.6,5.8,10,3.2,6.5,6.7,6.5,4.9,8.1,6.9,6.1,8.3,6.4,0,0,YES,0.5,8
Suriname,SUR,3,Low,110,2.755555556,1.8,3.3,0.1,8.6,0,0,1.6,1.1,5.6,0.1,0.1,0,3,3.6,3.7,5.7,1.3,2.4,3,1,1.4,1.1,3.2,1.7,5.1,6.2,x,6.2,3.7,1.8,3.7,5.7,7,0.137254902,,0.166666667,6
Sweden,SWE,1.9,Very Low,166,3.733333333,1.4,2.5,0.1,6.3,0,0,5.8,0.6,1.8,0.1,0.2,0,3.1,0.2,0,0.7,0.1,5.3,8,0.1,0.2,0,1.4,0.4,1.5,2.1,2.5,1.7,0.9,1.7,0.9,0.2,13,0.254901961,,0.05,1.8
Switzerland,CHE,1.4,Very Low,184,3.36344086,1.2,2.2,4.6,5.9,0,0,0,1.1,1.9,0.1,0.1,0,2.8,0.4,0,1.1,0.4,4.7,7.3,0.1,0.3,0.2,1.1,0.4,0.9,1.2,0.9,1.4,0.6,1.5,0,0.3,11,0.215686275,,0.080645161,1.8
Syria,SYR,7.2,Very High,9,6.636363636,8.5,5.1,7.2,6.3,2.4,0,2.1,7.8,6,10,10,10,7.8,6.5,6.5,6.4,6.7,8.8,10,0.5,2,10,7,6.5,5.6,6.6,4.6,8.6,4.4,4.1,2.9,6.3,9,0.176470588,YES,0.545454545,8.7
Tajikistan,TJK,4.4,Medium,54,4.579710145,4.8,5,8.1,6.6,0,0,0,7.6,6.1,4.6,6.6,0,3.7,4.6,4.9,3.1,5.4,2.7,3.7,1.5,2.1,0.1,2.7,1.6,4.9,5.8,4.6,6.9,3.8,3,4.4,3.9,5,0.098039216,,0.608695652,8
Tanzania,TZA,5.1,High,33,1.242009132,4.1,4.3,4.4,4.2,3.1,0.7,3.2,5.5,7,3.9,5.5,0,5.5,5.9,8.2,5.7,1.5,5.1,6.1,4.9,3.2,0.8,5.8,3.9,5.9,4.9,3.5,6.3,6.8,5.5,8.3,6.6,0,0,,0.232876712,6
Thailand,THA,4.4,Medium,54,1.530434783,5.6,5.8,1.7,9.8,5.8,1.6,5.5,5.2,5.4,5.4,7.7,0,3.8,1.8,1.6,3.5,0.3,5.3,7.6,1,1.2,1.3,2.2,1.4,3.9,5.1,4.7,5.5,2.4,1.1,1.9,4.1,4,0.078431373,,0.086956522,6.5
Timor-Leste,TLS,3.6,Medium,81,2.980392157,1.8,3.2,5.7,0,3.9,0.5,3.3,1.5,5.7,0.1,0.1,0,4.6,6.2,7.6,3,6.4,2.5,0,3.3,5.5,2.7,5.9,4.5,5.7,6.3,6.3,6.3,5,4.2,5.3,5.6,5,0.098039216,,0.308823529,5.7
Togo,TGO,4.3,Medium,58,1.369369369,2.1,2.4,0.1,3,0,0,0.7,2.1,7.3,1.7,2.4,0,4.9,6.1,7.8,6.1,2.5,3.5,3.5,4,4.1,0.1,4.6,3.4,7.5,8,9.2,6.7,6.9,5.9,7.7,7.1,0,0,,0.256756757,6.9
Tonga,TON,3.3,Medium,94,4.554497354,2.1,3.8,7,0,5.7,5.6,0,0.5,4.3,0,0,0,4.3,5.1,2.5,5.3,10,3.5,0,2,0.6,10,4,5.9,4,5.1,5.8,4.4,2.6,2.5,0.4,5,12,0.235294118,,0.253968254,0
Trinidad and Tobago,TTO,2.8,Low,124,6.15,2,3.5,5.8,0,0,5.7,2.7,2.4,5.2,0.1,0.1,0,3.4,2,1.6,4.6,0.3,4.5,6.2,0.5,1.2,3.3,3.7,2.3,3.2,4.8,4.4,5.2,1.1,1.5,0.3,1.5,9,0.176470588,,0.703125,5.8
